"""'Job""","""'Workflow""","""'Total minutes""","""'Job runs""","""'Runner type""","""'Runner labels"""
"""'learning-track""","""'.github/workflows/test.yml""",1644,827,"""'hosted""","""'ubuntu-latest"""
"""'shielding""","""'.github/workflows/test.yml""",1644,827,"""'hosted""","""'ubuntu-latest"""
"""'events""","""'.github/workflows/test.yml""",1642,828,"""'hosted""","""'ubuntu-latest"""
"""'observability""","""'.github/workflows/test.yml""",1642,827,"""'hosted""","""'ubuntu-latest"""
"""'secret-scanning""","""'.github/workflows/test.yml""",1642,827,"""'hosted""","""'ubuntu-latest"""
"""'early-access""","""'.github/workflows/test.yml""",1642,828,"""'hosted""","""'ubuntu-latest"""
"""'tracking""","""'.github/workflows/test.yml""",1640,827,"""'hosted""","""'ubuntu-latest"""
"""'color-schemes""","""'.github/workflows/test.yml""",1639,828,"""'hosted""","""'ubuntu-latest"""
"""'products""","""'.github/workflows/test.yml""",1638,827,"""'hosted""","""'ubuntu-latest"""
"""'versions""","""'.github/workflows/test.yml""",1638,827,"""'hosted""","""'ubuntu-latest"""
"""'landings""","""'.github/workflows/test.yml""",1637,827,"""'hosted""","""'ubuntu-latest"""
"""'ghes-releases""","""'.github/workflows/test.yml""",1637,827,"""'hosted""","""'ubuntu-latest"""
"""'changelogs""","""'.github/workflows/test.yml""",1636,828,"""'hosted""","""'ubuntu-latest"""
"""'workflows""","""'.github/workflows/test.yml""",1635,827,"""'hosted""","""'ubuntu-latest"""
"""'lint-code""","""'.github/workflows/lint-code.yml""",1355,830,"""'hosted""","""'ubuntu-latest"""
"""'Close if invalid repo-sync PR author""","""'.github/workflows/close-bad-repo-sync-prs.yml""",1321,1321,"""'hosted""","""'ubuntu-latest"""
"""'pageinfo""","""'.github/workflows/test.yml""",1266,480,"""'hosted""","""'ubuntu-latest"""
"""'repo-sync-stalls""","""'.github/workflows/repo-sync-stalls.yml""",1201,1195,"""'hosted""","""'ubuntu-latest"""
"""'test-changed-content""","""'.github/workflows/test-changed-content.yml""",906,409,"""'hosted""","""'ubuntu-latest"""
"""'keep-caches-warm""","""'.github/workflows/keep-caches-warm.yml""",859,425,"""'hosted""","""'ubuntu-latest"""
"""'article-api""","""'.github/workflows/test.yml""",846,425,"""'hosted""","""'ubuntu-latest"""
"""'triage-issue-comments""","""'.github/workflows/triage-issue-comments.yml""",815,812,"""'hosted""","""'ubuntu-latest"""
"""'triage_issues""","""'.github/workflows/triage-issues.yml""",805,804,"""'hosted""","""'ubuntu-latest"""
"""'pagelist""","""'.github/workflows/test.yml""",795,402,"""'hosted""","""'ubuntu-latest"""
"""'triage_pulls""","""'.github/workflows/triage-pull-requests.yml""",755,751,"""'hosted""","""'ubuntu-latest"""
"""'Remove issues with spammy titles""","""'.github/workflows/check-for-spammy-issues.yml""",752,752,"""'hosted""","""'ubuntu-latest"""
"""'notify-when-maintainers-cannot-edit""","""'.github/workflows/notify-when-maintainers-cannot-edit.yaml""",725,725,"""'hosted""","""'ubuntu-latest"""
"""'close-on-adding-invalid-label""","""'.github/workflows/close-on-invalid-label.yaml""",704,704,"""'hosted""","""'ubuntu-latest"""
"""'check-team-membership""","""'.github/workflows/confirm-internal-staff-work-in-docs.yml""",664,664,"""'hosted""","""'ubuntu-latest"""
"""'lint-content""","""'.github/workflows/content-lint-markdown.yml""",650,632,"""'hosted""","""'ubuntu-latest"""
"""'Dependabot""","""'dynamic/dependabot/dependabot-updates""",637,207,"""'hosted""","""'ubuntu-latest"""
"""'triage""","""'.github/workflows/triage-unallowed-contributions.yml""",495,495,"""'hosted""","""'ubuntu-latest"""
"""'comment""","""'.github/workflows/merged-notification.yml""",446,446,"""'hosted""","""'ubuntu-latest"""
"""'Request a review from the docs-content team""","""'.github/workflows/os-ready-for-review.yml""",368,357,"""'hosted""","""'ubuntu-latest"""
"""'Close if invalid repo-sync PR author""","""'.github/workflows/close-bad-repo-sync-prs.yml""",353,353,"""'hosted""","""'ubuntu-latest"""
"""'check-content-linter-rules-docs""","""'.github/workflows/content-linter-rules-docs.yml""",343,308,"""'hosted""","""'ubuntu-latest"""
"""'lint""","""'.github/workflows/package-lock-lint.yml""",342,306,"""'hosted""","""'ubuntu-latest"""
"""'move-content-test""","""'.github/workflows/move-content.yml""",325,317,"""'hosted""","""'ubuntu-latest"""
"""'Build and deploy Azure preview environment (public)""","""'.github/workflows/azure-preview-env-deploy-public.yml""",309,61,"""'hosted""","""'ubuntu-latest"""
"""'triage_issues""","""'.github/workflows/triage-issues.yml""",303,303,"""'hosted""","""'ubuntu-latest"""
"""'Remove issues with spammy titles""","""'.github/workflows/check-for-spammy-issues.yml""",284,284,"""'hosted""","""'ubuntu-latest"""
"""'stale""","""'.github/workflows/stale.yml""",283,283,"""'hosted""","""'ubuntu-latest"""
"""'stale_needs-sme""","""'.github/workflows/needs-sme-stale-check.yaml""",283,283,"""'hosted""","""'ubuntu-latest"""
"""'purge-old-deployment-environments""","""'.github/workflows/purge-old-deployment-environments.yml""",283,283,"""'hosted""","""'ubuntu-latest"""
